RestaurantID,RestaurantName,CuisineType,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreShare,UE_share,DD_share,SD_share,InStoreOrdersCount,UberEatsOrdersCount,DoorDashOrdersCount,SelfDeliveryOrdersCount,InStoreRevenue,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStore_NetProfitPerOrder,InStore_MarginPct,UberEats_NetProfitPerOrder,UberEats_MarginPct,DoorDash_NetProfitPerOrder,DoorDash_MarginPct,SelfDelivery_NetProfitPerOrder,SelfDelivery_MarginPct,TotalRevenue,TotalNetProfit,BlendedMarginPct
SKY-1000,Restaurant 1,Burgers,Cafe,Albany,0.9975740875465919,39.85869162165702,2803,0.400377378470602,0.3607550740036723,0.1833039066656861,0.055563640860039634,1122,1011,514,156,43255.17613754082,43085.05930057264,22841.23681935324,6485.427370042952,0.3266094327983618,0.3815928505162856,0.2593783810148306,10.037340570408642,3.2053282873486917,500.0312128263959,12621.761631757161,1396.7889998496134,562.7620327790945,1392.4016854808292,11.249341917787131,29.179771668535263,1.3815914934219717,3.2419335670522074,1.094867768052713,2.4637984240077127,8.925651830005316,21.46969823318841,115666.89962750964,15973.714349866697,13.81009986548268
SKY-1001,Restaurant 2,Mexican,QSR,Manukau,1.0404579334472086,39.248594121583864,3521,0.4474256714670739,0.23424179338891138,0.19120694775588212,0.1271255873881326,1575,825,673,448,59133.07143801263,35513.78980415031,26951.986739997134,18168.633296965374,0.25427925617663,0.36608381975683124,0.2831309584832412,7.289611008629631,2.753885968405455,1233.7409138456437,22449.09735133401,3427.292576571791,2372.0992495699643,5663.743145507187,14.253395143704134,37.96369240665387,4.154294032208232,9.650596558329749,3.5246645610252068,8.801203682880027,12.642283806935685,31.17319312318983,139767.48127912544,33912.232322982956,24.263320775780354
SKY-1002,Restaurant 3,Indian,QSR,CBD,1.0334277747295753,36.668558800017365,3505,0.14464461311841292,0.4567531565831097,0.33721997838969614,0.06138225190878121,507,1601,1182,215,19551.569019656385,66356.45673830307,47620.98001652814,8544.73317137858,0.2764992684205872,0.21185502856956717,0.24489691035155886,13.923154367777256,5.31,1141.6499999999999,10003.47627600761,17700.504720024186,12352.971998394454,3230.226010501542,19.730722437884832,51.16457030098457,11.055905509071946,26.674879265828682,10.450906936035917,25.940188534774006,15.024307025588568,37.80370838637185,142073.73894586618,43287.17900492779,30.46810714358784
SKY-1003,Restaurant 4,Seafood,Cafe,CBD,1.0092077965007282,41.10805979247821,2666,0.2387307664621239,0.36060983980734124,0.24326915889542544,0.15739023483510942,636,961,649,420,26358.74350132909,44467.05428340183,28187.077991076647,18356.830911403387,0.33515315423506836,0.385085557851123,0.23466299375649458,10.133016134526727,3.185123841342272,1337.7520133637543,7374.156029721562,2005.3882943821116,1072.7552114777143,3797.778644426472,11.594584952392394,27.976128791380873,2.086772418711875,4.5098294157314145,1.652935610905569,3.8058404344619294,9.042330105777314,20.68863990062286,117369.70668721094,14250.078180007858,12.141189223539742
SKY-1004,Restaurant 5,Seafood,QSR,South Auckland,0.9974624481593866,36.67500639016328,3700,0.41162547896977963,0.2585930639871175,0.1818283831586705,0.14795307388443235,1523,957,673,547,56492.27001292368,37922.26850893134,26498.70606438687,21450.92066401528,0.3473689987927002,0.3050173108447681,0.31208299544094975,13.325240125479496,2.5193751529336352,1378.0982086546985,19637.486456148985,1347.4045531251538,693.4235740739093,6078.5354850375425,12.893950397996708,34.76136903625317,1.4079462415100876,3.553069492158195,1.030347064002837,2.616820505835343,11.1124963163392,28.33694450809523,142364.16525025718,27756.85006838559,19.497076402332535
SKY-1005,Restaurant 6,Sushi,Cafe,East Auckland,0.99,39.43132391360884,1030,0.4254421603305631,0.33691211748382516,0.20640151755472588,0.031244204630885803,438,347,213,32,17110.806858901833,13472.838163082184,9057.417010881933,1278.7313784465073,0.2968177983723992,0.40399822714333605,0.2674451765950203,6.3552364925118265,4.320027917787105,138.24089336918735,5119.279202678868,427.61168745256475,214.80065314788408,244.3350427321812,11.687852060910659,29.918397448426475,1.2323103384800136,3.1738797889244443,1.008453770647343,2.37154425913938,7.635470085380662,19.10761297099134,40919.79341131246,6006.026586011499,14.677558426653997
SKY-1006,Restaurant 7,Burgers,QSR,CBD,1.0118475673810106,29.79,3063,0.3625401670234684,0.2717708753559369,0.10066026701347583,0.26502869060711876,1110,832,308,813,32895.41067611853,27280.36736147966,10090.778549487617,24175.420739054378,0.30200962264335596,0.28027041265899344,0.35,9.196501690854586,1.0589638327071544,860.9375959909165,13741.069786342952,1847.425514658343,577.3939923734915,9237.618301677729,12.379342149858516,41.77199646976506,2.2204633589643548,6.771996469765062,1.874655819394453,5.721996469765061,11.362384134904955,38.21078607643317,94441.97732614019,25403.507595052517,26.898534226285403
SKY-1007,Restaurant 8,Indian,QSR,Manukau,1.05,34.35120852512434,1883,0.22062435070133057,0.2119326503030849,0.3099604334565737,0.25748256553901083,415,399,584,485,14668.26338407885,13585.806473383847,21331.148869288936,16948.41191056496,0.33412588646898295,0.3721004576971658,0.27185239859176563,5.566194946593026,2.9943201563810975,1452.2452758448323,4309.149359074663,297.81795854423984,293.6378820878807,3526.751651699824,10.383492431505212,29.377365583385135,0.746410923669774,2.192125724208566,0.5028045926162341,1.3765685284332694,7.27165289010273,20.808744030473964,66533.63063731659,8427.356851406606,12.666311413764895
SKY-1008,Restaurant 9,Asian Fusion,QSR,East Auckland,1.0265232640719548,31.663993772833674,3323,0.337908966023467,0.24475915898826886,0.23169457973614965,0.1856372952521145,1123,813,770,617,35524.16906376308,29315.866682092255,27219.413625035002,19832.999870932985,0.30593092921548687,0.3501785669779446,0.23295687838598034,7.552381650394537,4.8944284946810726,3019.862381218222,12216.424396647204,3252.115373391126,2829.31974636014,3800.517936392532,10.878383256141767,34.38905038065686,4.000141910690192,11.093362542058827,3.674441229039143,10.394491906900885,6.159672506308804,19.162597494706425,111892.44924182331,22098.377452791,19.749659250939906
SKY-1009,Restaurant 10,Burgers,Cafe,CBD,1.0116064157092577,32.62466797791191,2397,0.6003158469361207,0.20188812880494086,0.14147594092838425,0.05632008333055416,1439,484,339,135,47694.33023313039,17160.608442568035,11860.229491383934,4719.010630661936,0.2417922813297731,0.39121713194652313,0.3190776350574376,8.082635220393799,2.783800715640246,375.8130966114332,17503.370235650607,822.2154028724827,454.72858305102625,1356.0193834905865,12.163565139437532,36.69905867237038,1.6987921546952123,4.791295166626624,1.3413822508879831,3.8340622614543127,10.044588025856196,28.73524748344077,81434.1787977443,20136.333605064705,24.727127972981382
